Name,Nationality,Current_Rank,Previous_Year_Rank,Sport,Year,Earnings,Team_Sport
Mike Tyson,United States,1,,Boxing,1990,28.6,No
Buster Douglas,United States,2,,Boxing,1990,26,No
Sugar Ray Leonard,United States,3,,Boxing,1990,13,No
Ayrton Senna,Brazil,4,,NASCAR,1990,10,Yes
Alain Prost,France,5,,NASCAR,1990,9,Yes
Jack Nicklaus,United States,6,,Golf,1990,8.6,No
Greg Norman,Australia,7,,Golf,1990,8.5,No
Michael Jordan,United States,8,,Basketball,1990,8.1,Yes
Arnold Palmer,United States,8,,Golf,1990,8.1,No
Evander Holyfield,United States,8,,Boxing,1990,8.1,No
Evander Holyfield,United States,1,8,Boxing,1991,60.5,No
Mike Tyson,United States,2,1,Boxing,1991,31.5,No
Michael Jordan,United States,3,8,Basketball,1991,16,Yes
George Foreman,United States,4,>30,Boxing,1991,14.5,No
Ayrton Senna,Brazil,5,4,NASCAR,1991,13,Yes
Alain Prost,France,6,5,NASCAR,1991,11,Yes
"Donovan ""Razor"" Ruddock",Canada,7,>30,Boxing,1991,10.2,No
Arnold Palmer,United States,8,8,Golf,1991,9.3,No
Nigel Mansell,United Kingdom,9,12,NASCAR,1991,9,Yes
Sugar Ray Leonard,United States,10,6,Golf,1991,8.5,No
Michael Jordan,United States,1,3,Basketball,1992,35.9,Yes
Evander Holyfield,United States,2,1,Boxing,1992,28,No
Ayrton Senna,Brazil,3,5,NASCAR,1992,22,Yes
Nigel Mansell,United Kingdom,4,9,NASCAR,1992,14.5,Yes
Arnold Palmer,United States,5,8,Golf,1992,11.1,No
Andre Agassi,United States,6,17,Tennis,1992,11,No
Joe Montana,United States,7,13,American Football,1992,9.5,Yes
Sugar Ray Leonard,United States,8,10,Golf,1992,9.2,No
Jim Courier,United States,9,>40,Tennis,1992,9,No
Monica Seles,United States,10,12,Tennis,1992,8.5,No
Michael Jordan,United States,1,1,Basketball,1993,36,Yes
Riddick Bowe,United States,2,>40,Boxing,1993,25,No
Ayrton Senna,Brazil,3,3,NASCAR,1993,18.5,Yes
Alain Prost,France,4,>40,NASCAR,1993,16,Yes
George Foreman,United States,5,19,Boxing,1993,15.8,No
Shaquille O'Neal,United States,6,>40,Basketball,1993,15.2,Yes
Lennox Lewis,United States,7,>40,Boxing,1993,15,No
Cecil Fielder,United States,8,40,Baseball,1993,12.7,Yes
Jim Courier,United States,9,9,Tennis,1993,12.6,No
Joe Montana,United States,10,7,American Football,1993,11.5,Yes
Michael Jordan,United States,1,1,Basketball,1994,30,Yes
Shaq O'Neal,United States,2,6,Basketball,1994,16.7,Yes
